latitud,longitud,identificador
-34.922259,-57.953090,LP01530
-34.916003,-57.948069,LP2036
-34.914521,-57.949979,LP2048
-34.913640,-57.951255,LP2062
-34.911585,-57.953822,LP2072
-34.907477,-57.959581,LP2084
-34.905544,-57.961910,LP2086
-34.903943,-57.964114,LP2088
-34.902312,-57.966437,LP2092
-34.900834,-57.968358,LP2094
-34.909465,-57.956727,LP5005
-34.917884,-57.948276,LP2310
-34.931072,-57.943833,LP 1546
-34.882883,-57.983656,LP10014
-34.883552,-57.982884,LP10015
-34.884344,-57.981746,LP10016
-34.885206,-57.980588,LP10017
-34.885963,-57.979322,LP10018
-34.886826,-57.978163,LP10019
-34.887477,-57.977498,LP10020
-34.888181,-57.976468,LP10022
-34.892423,-57.973163,LP10025
-34.889371,-57.977044,LP10026
-34.890839,-57.975266,LP10027
-34.891754,-57.973957,LP10028
-34.932386,-57.937380,LP10091
-34.933180,-57.936243,LP10092
-34.934135,-57.935196,LP10093
-34.948828,-57.942921,LP10174
-34.951207,-57.944224,LP10175
-34.951888,-57.943372,LP10176
-34.934962,-57.934242,LP10304
-34.936075,-57.935535,LP7015
-34.937820,-57.937246,LP7014
-34.940591,-57.940298,LP7011
-34.941760,-57.941581,LP7010
-34.943462,-57.943463,LP10311
-34.945213,-57.945322,LP10313
-34.956600,-57.948826,LP10323
-34.959825,-57.950279,LP10325
-34.958882,-57.951299,LP10326
-34.952797,-57.942657,LP10327
-34.953729,-57.943579,LP10329
-34.881558,-57.967311,LP10351
-34.882192,-57.966520,LP10353
-34.884410,-57.963044,LP10355
-34.885536,-57.961542,LP10357
-34.887508,-57.959053,LP10358
-34.884336,-57.984118,LP10654
-34.885797,-57.977552,LP10655
-34.883043,-57.974451,LP10658
-34.881252,-57.972295,LP10660
-34.892776,-57.972783,LP10663
-34.893379,-57.973459,LP10665
-34.894444,-57.974585,LP10667
-34.885833,-57.985483,LP10743
-34.896987,-57.977411,LP10756
-34.900340,-57.973646,LP0758
-34.899013,-57.979245,LP0843
-34.899756,-57.976042,LP0845
-34.900900,-57.971220,LP0847
-34.950371,-57.943373,LP11726
-34.922838,-57.952393,LP1532
-34.924130,-57.950676,LP1534
-34.925670,-57.948707,LP1536
-34.926589,-57.947087,LP1538
-34.927372,-57.946385,LP1540
-34.929074,-57.944072,LP1542
-34.932522,-57.941997,LP1548
-34.933948,-57.939572,LP1560
-34.954697,-57.944731,LP2496
-34.954868,-57.946871,LP2498
-34.946489,-57.943832,LP2809
-34.944664,-57.941830,LP2811
-34.943943,-57.942324,LP2812
-34.895671,-57.975777,LP3400
-34.918153,-57.951976,LP12000
-34.921628,-57.956566,LP1525
-34.914607,-57.950132,LP2061
-34.913257,-57.951995,LP2073
-34.912012,-57.953663,LP2087
-34.909454,-57.956932,LP2099
-34.907141,-57.960151,LP2103
-34.905760,-57.962177,LP2105
-34.903815,-57.964764,LP2107
-34.902108,-57.966974,LP2111
-34.901456,-57.967988,LP2113
-34.919618,-57.953686,LP2301
-34.915971,-57.949662,LP2315
-34.884344,-57.981746,LP10016
-34.885206,-57.980588,LP10017
-34.887477,-57.977498,LP10020
-34.885833,-57.985483,LP10743
-34.935806,-57.937700,LP10125
-34.937705,-57.939379,LP10298
-34.939447,-57.941369,LP10300
-34.940410,-57.942388,LP10301
-34.942380,-57.944555,LP10302
-34.943294,-57.945558,LP10303
-34.953478,-57.943590,LP10330
-34.881088,-57.967968,LP10350
-34.882478,-57.965812,LP10352
-34.884133,-57.963634,LP10354
-34.885867,-57.961317,LP10356
-34.888393,-57.957948,LP10359
-34.960779,-57.949415,LP10389
-34.885434,-57.977254,LP10656
-34.882671,-57.974035,LP10657
-34.881509,-57.972512,LP10659
-34.893665,-57.973813,LP10666
-34.894668,-57.974843,LP10668
-34.896269,-57.976516,LP10672
-34.900317,-57.974010,LP0757
-34.899777,-57.976366,LP0844
-34.900907,-57.971592,LP0846
-34.889589,-57.975656,LP11010
-34.890839,-57.976751,LP11011
-34.891842,-57.976128,LP11012
-34.892581,-57.975163,LP11013
-34.956329,-57.948555,LP11036
-34.954773,-57.946687,LP11044
-34.958734,-57.951232,LP11051
-34.960462,-57.951239,LP11589
-34.961258,-57.950161,LP11590
-34.951004,-57.942707,LP11727
-34.951890,-57.943705,LP11728
-34.952541,-57.944327,LP11729
-34.947703,-57.942122,LP11730
-34.948962,-57.940502,LP11731
-34.949762,-57.941237,LP11732
-34.922867,-57.952774,LP1531
-34.924126,-57.951127,LP1533
-34.925638,-57.949223,LP1535
-34.926677,-57.948407,LP1537
-34.927416,-57.946787,LP1539
-34.929043,-57.944410,LP1541
-34.930750,-57.944142,LP1543
-34.934198,-57.939663,LP1549
-34.954557,-57.944599,LP2495
-34.886717,-57.978545,LP2522
-34.945790,-57.944255,LP2810
-34.895285,-57.975699,LP3401
-34.898799,-57.979467,LP3403
-34.883405,-57.982849,LP3474
-34.888192,-57.976329,LP3478
-34.889151,-57.975117,LP3479
-34.884376,-57.984134,LP3726
-34.932360,-57.942238,LP5003
-34.922259,-57.953090,LP01530
-34.898441,-57.983360,LP11018
-34.916003,-57.948069,LP2036
-34.914521,-57.949979,LP2048
-34.913640,-57.951255,LP2062
-34.911585,-57.953822,LP2072
-34.907477,-57.959581,LP2084
-34.905544,-57.961910,LP2086
-34.903943,-57.964114,LP2088
-34.902312,-57.966437,LP2092
-34.900834,-57.968358,LP2094
-34.909465,-57.956727,LP5005
-34.917884,-57.948276,LP2310
-34.852862,-58.081258,LP10855
-34.931072,-57.943833,LP 1546
-34.932386,-57.937380,LP10091
-34.933180,-57.936243,LP10092
-34.934135,-57.935196,LP10093
-34.934962,-57.934242,LP10304
-34.936075,-57.935535,LP7015
-34.937820,-57.937246,LP7014
-34.940591,-57.940298,LP7011
-34.941760,-57.941581,LP7010
-34.943462,-57.943463,LP10311
-34.945213,-57.945322,LP10313
-34.956600,-57.948826,LP10323
-34.959825,-57.950279,LP10325
-34.958882,-57.951299,LP10326
-34.900340,-57.973646,LP0758
-34.899756,-57.976042,LP0845
-34.900900,-57.971220,LP0847
-34.922838,-57.952393,LP1532
-34.924130,-57.950676,LP1534
-34.925670,-57.948707,LP1536
-34.927372,-57.946385,LP1540
-34.929074,-57.944072,LP1542
-34.932522,-57.941997,LP1548
-34.933948,-57.939572,LP1560
-34.954017,-57.951816,LP10187
-34.880802,-58.056810,LP0800
-34.881612,-58.053333,LP0804
-34.882759,-58.048545,LP0806
-34.883595,-58.044951,LP0808
-34.884145,-58.042644,LP0810
-34.884673,-58.040112,LP0812
-34.885262,-58.037698,LP0814
-34.885790,-58.035349,LP0816
-34.886432,-58.032795,LP0818
-34.887075,-58.030403,LP0820
-34.887587,-58.028042,LP0822
-34.895536,-57.994263,LP0838
-34.898584,-57.981130,LP0840
-34.881956,-58.051704,LP0849
-34.898889,-57.979730,LP0888
